IPAddress,RecordedDate,Question_1,Question_2,Question_3_1,Question_3_2,Question_3_3,Question_3_4,Question_3_5,Question_3_6,Question_3_7,Question_3_8,Question_3_8_TEXT,Question_4,Question_5_1,Question_5_2,Question_5_3,Question_6_1,Question_6_2,Question_6_3,Question_6_4,Question_7_1,Question_7_2,Question_7_3,Question_7_4,Question_7_5,Question_7_6,Question_7_7,Question_8,Question_9,Question_9_5_TEXT,Question_10,Question_11_1,Question_11_2,Question_11_3,Question_11_4,Question_11_5,Question_12,Question_13,Question_14,Question_15_1,Question_15_2,Question_15_3,Question_15_4,Question_15_5,Question_15_5_TEXT,Question_16,Question_17,filter_$,PrimaryLast,Miss,Missi,WTP_DOLLARS
 ,12/8/2025 19:02:21, , , , , , , , , , , , , , , ,0,0,0,0, , , , , , , , , , , ,0,0,0,0,0, , , , , , , , , , , ,0,1,0,34, 
134.71.249.179,1/28/2026 8:35:55,1,1,0,0,0,1,0,0,1,0, ,3,4,4,4,1,1,1,0,4,4,4,4,3,4,4,27,1, ,4,1,0,0,0,0,3,2,3,1,0,0,1,0, ,187,3,0,1,0,0,2.99
146.75.253.248,2/10/2026 10:19:19,1,3,1,1,0,1,1,1,0,0, ,5,5,5,5,0,0,0,1,4,4,4,4,4,5,4,29,4, ,4,1,1,0,0,0,3,1,6,1,0,0,1,0, ,187,3,1,1,0,0,5.99
96.37.220.196,2/10/2026 10:26:36,1,3,1,1,1,1,1,1,1,0, ,4,2,5,4,0,0,1,0,4,4,5,4,4,3,2,27,5,0,4,1,1,0,0,0,3,1,4,1,0,0,0,0, ,187,3,1,1,0,0, 
24.64.125.120,2/10/2026 10:27:24,1,3,1,0,1,0,1,1,0,0, ,4,4,4,4,0,0,0,1,3,4,4,4,5,5,3,29,3, ,4,1,0,0,0,0,4,0,3,1,0,0,0,0, ,31,4,1,1,0,0,4.99
104.55.12.239,2/11/2026 18:47:05,1,3,1,0,0,1,1,1,0,0, ,4,5,5,4,1,1,1,1,3,3,4,5,4,3,4,28,1, ,2,1,0,0,1,0,4,1,2,1,0,0,0,0, ,187,2,1,1,0,0,2.99
24.90.22.231,2/11/2026 19:00:01,1,1,1,0,0,1,0,0,0,0, ,5,5,3,4,0,1,0,0,3,3,4,4,1,3,3,28,2, ,2,1,0,0,1,0,4,1,6,1,0,0,0,0, ,187,4,1,1,0,0,3.99
104.28.86.122,2/11/2026 19:08:54,1,2,1,0,1,1,1,0,0,0, ,5,5,5,5,0,1,1,1,3,4,4,4,5,2,2,27,2, ,3,1,0,0,0,0,4,1,5,1,0,0,0,0, ,185,4,1,1,0,0,3.99
1.136.25.18,2/11/2026 19:14:26,1,3,1,0,0,1,0,0,1,0, ,5,4,5,3,0,1,1,1,2,4,5,4,5,2,2,27,5,20,4,1,1,0,0,0,2,1,4,1,0,0,0,0, ,9,2,1,1,0,0, 
23.93.235.163,2/11/2026 19:40:46,1,3,1,0,1,1,1,1,0,1,200 hr Yoga teacher training,2,4,4,3,0,1,1,0,4,4,4,5,4,2,1,27,5,0,3, , , , , ,4,1,6,1,0,0,0,0, ,187,3,1,1,0,5, 
71.202.127.225,2/11/2026 20:51:55,1,3,1,0,1,0,0,0,1,0, ,3,2,4,3,0,0,0,1,1,1,1,4,5,1,1,26,5,0,4,0,1,0,0,0,4,1,6,1,0,0,1,0, ,187,3,0,0,0,0, 
75.221.86.236,2/11/2026 21:42:02,1,3,1,0,0,1,0,1,1,0, ,3,4,4,4,0,0,1,1,4,4,4,4,3,3,2,28, , ,4,1,0,0,0,0,3,1,6,1,0,0,0,0, ,187,3,1,1,0,1, 
91.141.33.226,2/11/2026 22:22:32,1,3,1,0,0,1,0,0,0,0, ,3,3,2,2,0,1,0,0,4,4,4,2,4,4,2,28,2, ,2,1,1,0,0,0,3,1,4,1,0,0,0,0, ,10,2,1,1,0,0,3.99
172.56.71.1,2/11/2026 22:22:50,2,0,0,0,0,1,0,0,0,0, ,1,5,5,5,0,0,1,1,5,5,5,5,5,5,5,30,1, ,3,1,0,1,0,0,2,1,1,1,0,0,1,0, ,187,4,1,1,0,0,2.99
107.200.119.16,2/11/2026 23:31:28,1,3,0,0,1,1,1,1,1,0, ,4,5,5,5,0,0,1,1,4,4,4,4,4,4,4,29,1, ,4,1,0,0,0,0,4,0,6,1,0,0,0,0, ,187,4,1,1,0,0,2.99
109.224.227.234,2/12/2026 0:21:28,1,3,1,0,0,1,0,1,0,0, ,5,4,4,3,0,0,0,1,4,4,4,4,4,4,4,28,3, ,3,0,1,0,0,0,4,1,1,1,0,0,0,0, ,185,4,1,1,0,0,4.99
71.72.44.111,2/12/2026 14:09:26,1,3,1,0,0,1,0,0,1,0, ,2,5,5,3,0,0,1,1,4,2,1,3,5,1,1,26,5,0,2,1,0,0,0,0,3,1,4,1,0,0,0,0, ,187,1,1,1,0,0, 
31.94.72.252,2/13/2026 17:10:03,1,1,1,0,0,1,0,0,0,0, ,4,4,4,4,0,0,1,0,4,5,5,4,4,3,3,29,4, ,4,1,0,0,0,0,3,1,1,1,0,0,0,0, ,185,4,1,1,0,0,5.99
104.28.55.143,2/13/2026 18:56:07,0,1,1,0,1,1,0,0,0,0, ,4,4,3,3,1,1,1,0,4,4,4,4,4,3,3,27,1, ,3,1,0,0,1,0,3,1,2,1,0,0,0,0, ,187,3,1,1,0,0,2.99
146.75.192.105,2/13/2026 20:06:06,1,3,1,1,0,0,0,1,1,0, ,2,4,4,2,0,1,1,0,3,4,3,2,3,3,4,27,1, ,2,1,0,0,0,0,4,1,6,1,0,0,0,0, ,187,3,1,1,0,0,2.99
104.28.78.137,2/13/2026 21:51:48,1,3,1,0,0,1,1,0,1,0, ,3,5,5,5,1,1,0,0,3,3,4,4,4,3,2,27,1, ,2,1,0,0,0,0,3,1,6,1,0,0,0,0, ,187,3,1,1,0,0,2.99
122.150.245.110,2/14/2026 14:49:49,1,2,0,0,0,1,0,0,1,0, ,4,5,5,4,1,0,0,1,3,3,3,4,4,2,3,27,5, ,1,1,0,0,0,0,3,1,6,1,0,0,0,0, ,9,3,1,1,0,0, 
68.205.169.29,2/14/2026 22:19:23,1,3,1,0,0,0,1,0,1,0, ,5,5,5,5,0,0,1,0,3,3,5,4,4,2,1,29,2, ,3,1,0,0,0,0,4,1,2,1,0,0,0,0, ,187,4,1,1,0,0,3.99
157.34.95.167,2/15/2026 4:32:26,1,3,0,0,0,0,0,0,1,0, ,5,1,1,1,1,0,0,1,3,4,4,4,5,4,5,30,5,0,4,1,1,0,0,0,3,1,5,1,0,0,0,0, ,78,4,1,1,0,0, 
104.28.55.108,2/15/2026 6:51:18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
172.56.35.165,2/17/2026 10:17:05,1,3,1,0,0,1,1,1,0,0, ,4,5,5,5,0,0,0,1,5,5,5,4,5,3,3, , , , , , , , , , , , , , , , , , , , ,1,1,0,18, 
172.59.220.159,2/17/2026 16:24:26,1,3,1,0,1,1,0,0,1,0, ,4,5,5,4,0,1,1,1,3,4,3,3,4,4,3,29,1, ,4,1,0,0,0,0,3,1,4,1,0,0,0,0, ,187,4,1,1,0,0,2.99
104.171.215.63,2/18/2026 4:04:00,1,3,1,0,0,0,0,0,1,0, ,3,4,3,2, , , , ,2,2,1,2,2,2,3,28, , ,3, , , , , ,4,1,6,1,0,0,1,0, ,187,2,1,1,0,10, 
140.248.30.57,2/18/2026 18:43:11,1,3,1,0,1,1,1,0,1,0, ,3,5,5,4,0,1,1,1,3,4,3,4,4,2,3, , , , , , , , , , , , , , , , , , , , ,1,1,0,18, 
47.146.33.78,2/18/2026 18:48:13,1,3,1,0,1,1,1,1,0,0, ,2,4,3,3,0,0,1,0,3,4,4,2,3,3,3, , , , , , , , , , , , , , , , , , , , ,1,1,0,18, 
47.54.89.121,2/18/2026 18:52:24,1,3,1,1,0,1,1,1,0,0, ,3,1,1,1,0,0,1,1,3,3,3,3,4,3,4,27, , , , , , , , , , , , , , , , , , , ,1,1,0,17, 
173.169.129.11,2/18/2026 18:55:18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
78.149.140.180,2/18/2026 19:24:30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
119.172.134.60,2/18/2026 21:19:09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
96.250.97.49,2/19/2026 5:43:32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
69.145.176.40,2/19/2026 11:18:40,1,3,1,0,0,1,0,0,1,0, ,3,4,3,4,0,1,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,25, 
50.38.61.159,2/19/2026 15:11:47,1,2,1,0,0,1,1,0,0,0, ,4,5,5,5,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,25, 
157.131.78.167,2/20/2026 17:31:36,1,3,1,0,0,1,0,1,0,0, ,2,1,3,3,0,0,1,1,3,3,4,2,5,3,3, , , , , , , , , , , , , , , , , , , , ,1,1,0,18, 
143.59.71.172,2/20/2026 18:12:33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
146.75.245.108,2/27/2026 20:00:35,1,3,1,0,0,1,1,0,1,0, ,3,4,2,3,1,0,0,0,3,4,4,3,4,3,4,27,5,0,2,1,0,0,0,0,3,1,5,1,0,0,0,0, ,187,4,1,1,0,0, 
66.186.231.20,3/2/2026 15:19:55,1,2,0,0,1,0,0,0,0,0, ,4,5,5,3,0,1,0,0,5,5,5,5,5,4,5,27,1, ,2,1,0,0,0,0,3,1,6,1,1,0,0,0, ,187,3,1,1,0,0,2.99
203.211.77.99,3/2/2026 15:23:09,1,1,0,0,1,1,0,0,0,0, ,5,5,5,5,0,0,1,1,5,5,5,5,5,5,5,30,4, ,5,1,1,0,1,1,3,1,3,1,1,0,0,0, ,123,5,1,1,0,0,5.99
47.230.237.226,3/2/2026 16:33:33,1,1,0,0,0,0,0,1,0,0, ,2,5,4,5,1,1,1,0,5,4,4,5,3,4,4,29,4, ,5,1,1,1,1,0,3,1,2,1,1,0,0,0, ,187,5,1,1,0,0,5.99
173.68.186.132,3/2/2026 16:40:39,1,1,0,0,1,0,0,0,0,0, ,5,5,5,5,0,0,0,1,5,5,5,5,5,5,5,30,4, ,5,1,0,0,0,0,4,1,1,0,1,0,0,0, ,8,5,1,1,0,0,5.99
172.56.160.175,3/2/2026 16:43:42,1,2,0,0,1,1,0,0,0,0, ,4,5,4,4,0,0,1,1,4,4,5,4,4,4,4,28,4, ,4,1,0,0,0,0,4,1,3,0,1,0,0,0, ,187,5,1,1,0,0,5.99
27.45.51.43,3/2/2026 16:55:35,1,2,0,0,1,1,0,0,0,0, ,3,4,4,4,0,0,1,0,5,4,5,5,4,4,5,30,2, ,4,1,0,0,0,0,4,1,3,1,1,1,0,0, ,187,5,1,1,0,0,3.99
71.167.151.30,3/2/2026 16:55:57,1,2,0,0,1,1,0,0,0,0, ,4,4,4,4,0,1,1,0,4,4,5,5,3,3,3,29,5,0,3,0,1,0,0,0,4,1,2,1,1,0,0,0, ,187,3,1,1,0,0, 
100.2.114.86,3/2/2026 17:16:00,1,2,1,0,1,0,0,0,0,0, ,4,4,4,4,0,0,0,1,4,4,4,4,4,3,4,29,3, ,3,1,0,0,0,0,4,1,6,0,1,0,0,0, ,187,4,1,1,0,0,4.99
169.197.142.22,3/2/2026 18:52:00,1,1,1,0,1,1,0,0,0,0, ,5,5,5,5,0,1,0,0,4,5,5,5,4,5,4,29,1, ,4,0,0,1,0,0,4,1,2,0,1,1,0,0, ,36,3,1,1,0,0,2.99
174.166.44.244,3/2/2026 18:59:31,1,2,0,0,1,1,0,0,0,0, ,4,5,4,4,0,0,1,0,5,5,5,5,4,4,4,30,4, ,5,1,0,0,0,0,4,1,2,1,1,0,0,0, ,187,5,1,1,0,0,5.99
100.8.25.98,3/2/2026 20:39:17,1,1,1,0,0,1,0,0,0,0, ,5,4,4,4,0,1,0,1,4,4,4,5,4,4,4,29,4, ,4,1,0,0,0,0,4,1,4,1,1,1,0,0, ,187,4,1,1,0,0,5.99
166.196.110.91,3/2/2026 20:47:11,1,1,0,0,1,1,0,0,0,0, ,5,5,5,5,1,1,1,1,5,5,5,5,5,5,4,30,4, ,4,1,0,0,0,0,4,1,6,1,1,0,0,0, ,187,5,1,1,0,0,5.99
173.68.109.50,3/2/2026 21:12:06,1,2,0,0,1,1,0,0,0,0, ,5,5,4,5,0,0,1,0,4,5,5,5,5,4,3,30,2, ,5,1,1,0,1,0,4,1,6,1,1,0,0,0, ,187,5,1,1,0,0,3.99
50.64.184.42,3/2/2026 21:35:27,1,2,0,0,1,0,0,0,0,1,Sino yoga,5,5,5,4,0,0,0,1,5,4,5,5,5,5,4,30,2, ,5,1,0,1,0,0,4,1,4,1,1,1,0,0, ,31,5,1,1,0,0,3.99
24.6.181.139,3/6/2026 10:39:14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
76.19.46.235,3/9/2026 17:45:22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
50.4.250.83,3/9/2026 19:47:45,1,3,1,0,1,1,1,1,0,0, ,5,5,5,4,0,0,1,1,4,5,5,5,5,5,4,27,3, ,4, , , , , ,5,1, ,1,0,0,0,0, ,187,4,1,1,0,6,4.99
140.248.5.229,3/9/2026 20:19:05,1,3,1,0,0,0,0,0,0,0, ,4,4,4,2,1,1,1,1,2,4,2,4,3,3,3,28,1, ,3,1,0,0,0,0,4,0,3,1,0,0,0,0, ,187,3,1,1,0,0,2.99
108.27.57.89,3/9/2026 21:18:26,1,0,0,0,1,0,0,0,1,0, ,1,1,3,5,0,0,1,0,2,2,1,4,4, ,3,28,2, ,4,0,0,0,1,0,4,1,2,0,1,0,0,0, ,3,3,1,1,0,1,3.99
174.66.163.202,3/9/2026 21:41:54,1,3,1,0,1,1,1,0,1,0, ,4,4,5,5,1,1,1,1,4,4,4,4,4,2,2,27,5,0,2,1,1,0,0,0,4,1,6,1,0,0,0,0, ,187,3,1,1,0,0, 
71.202.127.225,3/9/2026 22:32:20,1,3,1,0,0,0,0,0,1,0, ,3,3,4,4, , , , ,2,2,2,2,4,1,1,26,5,0,4,0,1,0,0,0,3,1,5,1,0,0,1,0, ,187,1,1,1,0,4, 
72.193.222.33,3/9/2026 23:06:00,0,3,1,1,1,1,1,1,1,0, ,5,5,5,5,0,1,1,1,3,5,5,5,5,5, ,29,1, ,4,1,1,1,1,0,3,1,3,1,0,0,1,0, ,187,4,1,1,0,1,2.99
68.62.127.8,3/10/2026 6:02:15,1,3,1,1,1,1,0,1,0,0, ,3,1,4,3, , , , ,2,2,4,1,1,1,1,26,5,0,1, , , , , ,3,1,5,1,0,0,0,0, ,187,1,1,1,0,9, 
68.55.46.241,3/10/2026 6:04:56,1,3,1,1,1,0,1,1,0,0, ,3,3,5,1, , , , ,1,1,1,1,1,1,1,26, , ,1, , , , , ,3,1,6,1,0,0,0,0, ,187,1,1,1,0,10, 
146.75.249.4,3/10/2026 8:15:26,1,3,1,0,0,1,0,1,0,0, ,3,4,4,5,1,1,1,1,4,4,2,5,5,2,4,28,5,0,2,1,0,0,1,0,4,1,6,1,0,0,0,0, ,187,2,1,1,0,0, 
73.8.69.158,3/10/2026 10:22:38,1,2,1,0,0,0,0,1,0,0, ,2,5,5,5,0,0,1,0,5,5,5,5,5,4,5,29,3, ,3,0,1,1,0,0,2,1,1,1,0,0,0,0, ,187,4,1,1,0,0,4.99
2.56.191.101,3/16/2026 19:08:32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
220.235.134.65,3/16/2026 19:22:57,1,3,1,0,0,0,0,0,1,0, ,2,4,5,3,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,25, 
98.172.110.18,3/16/2026 19:27:21,1,2,1,0,0,0,0,0,0,0, ,3,4,4,4,1,0,0,0,4,4,4,4,4,4,4,29,1, ,4,1,0,0,0,0, , , , , , , , , , , ,1,1,0,10,2.99
49.186.90.34,3/17/2026 2:06:15,1,1,1,0,0,0,0,0,0,0, ,2,3,4,1,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,25, 
68.82.54.14,3/27/2026 8:55:13,1,3,1,0,1,1,0,0,1,0, ,3,4,3,3,0,0,1,0,1,4,4,4,4,5,1,29,3, ,4,1,0,0,0,0,4,1,4,1,0,0,0,0, ,187,3,1,1,0,0,4.99
174.16.119.162,3/27/2026 12:16:11,1,3,1,0,1,1,0,1,0,0, ,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,29, 
172.56.233.144,3/30/2026 21:48:44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,43, 
142.67.225.35,6/9/2026 11:16:57,1,3,1,0,0,1,1,0,1,0, ,3,4,4,3,0,0,1,0,4,3,4,4,4,4,4,28,5,0,4,1,0,0,0,0,4,1,2,1,0,0,0,0, ,31,4,1,1,0,0, 
